,Page,Texte
316,235,"235
d’un viking orgueilleux. Car lorsqu’un homme sort d’une
pareille espece, il est fier de ne pas avoir ete fait pour la
pitie. C’est pourquoi le heros de la saga ajoute :  Celui qui,
lorsqu’il est jeune, ne possede pas deja un cur dur, ne le
possedera jamais.   Les hommes nobles et hardis qui
pensent de la sorte sont aux antipodes des promoteurs de
cette morale qui trouvent l’indice de la moralite justement
dans 
la 
compassion, 
dans 
le 
devouement, 
dans 
le
desinteressement. La foi en soi-meme, l’orgueil de soi-
meme, une fonciere hostilite et une profonde ironie en face
de l’ abnegation  appartiennent, avec autant de certitude a
la morale noble qu’un leger mepris et une certaine
circonspection a l’egard de la compassion et du   cur
chaud .  Ce sont les puissants qui s’entendent a honorer,
c’est la leur art, le domaine ou ils sont inventifs. Le profond
respect pour la vieillesse et pour la tradition,  cette double
veneration est la base meme du droit,  la foi et la
prevention au profit des ancetres et au prejudice des
generations a venir est typique dans la morale des puissants.
Quand, au contraire, les hommes des   idees modernes  
croient presque instinctivement au   progres   et a
l’ avenir  perdant de plus en plus la consideration de la
vieillesse, ils montrent deja suffisamment par la l’origine
plebeienne de ces  idees ."
317,235,"Ce sont les puissants qui s’entendent a honorer,
c’est la leur art, le domaine ou ils sont inventifs. Le profond
respect pour la vieillesse et pour la tradition,  cette double
veneration est la base meme du droit,  la foi et la
prevention au profit des ancetres et au prejudice des
generations a venir est typique dans la morale des puissants.
Quand, au contraire, les hommes des   idees modernes  
croient presque instinctivement au   progres   et a
l’ avenir  perdant de plus en plus la consideration de la
vieillesse, ils montrent deja suffisamment par la l’origine
plebeienne de ces  idees . Mais une morale de maitre est
etrangere et desagreable au gout du jour, lorsqu’elle affirme
avec la severite de son principe, que l’on n’a de devoirs
qu’envers ses egaux  ; qu’a l’egard des etres de rang
inferieur, a l’egard de tout ce qui est etranger, l’on peut agir
a sa guise, comme  le cur vous en dit , et de toute facon"
318,236,"236
en se tenant  par-dela le bien et le mal . On peut, si l’on
veut, user ici de compassion et de ce qui s’y rattache. La
capacite et le devoir d’user de longue reconnaissance et de
vengeance infinie  les deux procedes employes seulement
dans le cercle de ses egaux,  la subtilite dans les
represailles, le raffinement dans la conception de l’amitie,
une certaine necessite d’avoir des ennemis (pour servir en
quelque sorte de derivatifs aux passions telles que l’envie,
la combativite, l’insolence, et, en somme, pour pouvoir etre
un ami veritable a l’egard de ses amis) : tout cela appartient
a la caracteristique de la morale noble, qui, je l’ai dit, n’est
pas la morale des   idees modernes  , ce qui fait
qu’aujourd’hui, elle est difficile a concevoir et aussi
difficile a deterrer et a decouvrir.  Il en est differemment
de l’autre morale, de la morale des esclaves. En supposant
que les etres asservis, opprimes et souffrants, ceux qui ne
sont pas libres, mais incertains d’eux-memes et fatigues,
que ces etres se mettent a moraliser, quelles idees
communes trouveront-ils dans leurs appreciations morales ?
Vraisemblablement ils voudront exprimer une defiance
pessimiste a l’egard des conditions generales de l’homme,
peut-etre une condamnation de l’homme et de toute la
situation 
qu’il 
occupe. 
Le 
regard 
de 
l’esclave 
est
defavorable 
aux 
vertus 
des 
puissants. 
L’esclave 
est
sceptique et defiant a l’egard de toutes les   bonnes
choses  que les autres venerent, il voudrait se convaincre
que, meme chez les autres, le bonheur n’est pas veritable."
319,236,"Vraisemblablement ils voudront exprimer une defiance
pessimiste a l’egard des conditions generales de l’homme,
peut-etre une condamnation de l’homme et de toute la
situation 
qu’il 
occupe. 
Le 
regard 
de 
l’esclave 
est
defavorable 
aux 
vertus 
des 
puissants. 
L’esclave 
est
sceptique et defiant a l’egard de toutes les   bonnes
choses  que les autres venerent, il voudrait se convaincre
que, meme chez les autres, le bonheur n’est pas veritable.
Par contre, il presente en pleine lumiere les qualites qui
servent a adoucir l’existence de ceux qui souffrent. Ici nous"
320,237,"237
voyons rendre honneur a la compassion, a la main
complaisante et secourable, venerer le cur chaud, la
patience, l’application, l’humilite, l’amabilite, car ce sont la
les qualites les plus utiles, ce sont presque les seuls moyens
pour alleger le poids de l’existence. La morale des esclaves
est essentiellement une morale utilitaire. Nous voici au
veritable foyer d’origine de la fameuse antithese  bien  et
 mal . Dans le concept  mal  on fait entrer tout ce qui
est puissant et dangereux, tout ce qui possede un caractere
redoutable, subtil et puissant, et n’eveille aucune idee de
mepris. D’apres la morale des esclaves, l’  homme
mechant   inspire donc la crainte  ; d’apres la morale des
maitres, c’est l’ homme bon  qui inspire la crainte et veut
l’inspirer, tandis que l’  homme mauvais   est l’homme
meprisable. L’antithese arrive a son comble lorsque, par une
consequence de la morale d’esclave, une nuance de dedain
(peut-etre tres leger et bienveillant) finit par etre attachee
meme aux  hommes bons  de cette morale. Car l’homme
bon, d’apres la maniere de voir des esclaves, doit en tous les
cas etre l’homme inoffensif. Il est bonasse, facile a tromper,
peut-etre un peu bete, bref c'est un bonhomme. Partout ou la
morale des esclaves arrive a dominer, le langage montre une
tendance a rapprocher les mots   bon   et   bete  ."
321,237,"L’antithese arrive a son comble lorsque, par une
consequence de la morale d’esclave, une nuance de dedain
(peut-etre tres leger et bienveillant) finit par etre attachee
meme aux  hommes bons  de cette morale. Car l’homme
bon, d’apres la maniere de voir des esclaves, doit en tous les
cas etre l’homme inoffensif. Il est bonasse, facile a tromper,
peut-etre un peu bete, bref c'est un bonhomme. Partout ou la
morale des esclaves arrive a dominer, le langage montre une
tendance a rapprocher les mots   bon   et   bete  . 
Derniere difference fondamentale : l’aspiration a la liberte,
l’instinct de bonheur et toutes les subtilites du sentiment de
liberte appartiennent a la morale des esclaves aussi
necessairement 
que 
l’art 
et 
l’enthousiasme 
dans 
la
veneration et dans le devouement sont le symptome regulier
d’une maniere de penser et d’apprecier aristocratiques."
322,238,"238
Maintenant 
on 
comprendra, 
sans 
plus 
d’explication,
pourquoi l’amour en tant que passion  c’est notre
specialite europeenne  doit etre necessairement d’origine
noble. On sait que son invention doit etre attribuee aux
chevaliers poetes provencaux, ces hommes magnifiques et
ingenieux du  gai saber  a qui l’Europe est redevable de
tant de chose et presque d’elle-meme. 
261.
Au nombre des choses qui sont peut-etre le plus difficile
a comprendre pour un homme noble, se trouve la vanite. Il
sera tente de nier son existence la meme ou, pour une autre
espece d’hommes, elle creve les yeux. Le probleme consiste
pour lui a se representer des etres qui cherchent a creer une
bonne opinion pour ce qui les concerne, opinion qu’ils
n’ont pas eux-memes  et qu’ils ne  meritent  donc pas
 tout en finissant pas croire a cette opinion. Cela lui
semble d’une part de si mauvais gout, si irreverencieux a
l’egard de lui-meme, d’autre part si baroque et si fou, qu’il
regarderait 
volontiers 
la 
vanite 
comme 
une 
chose
exceptionnelle et qu’il la met en doute dans la plupart des
cas ou on lui en parle. Il dira par exemple :  Je puis me
tromper sur ma valeur et demander pourtant, d’autre part,
que ma valeur soit reconnue par les autres, precisement
dans la meme mesure ou je l’estime  mais ce n’est pas la
de la vanite (c’est plutot de la presomption ou, dans la
plupart des cas, ce qui est appele   humilite   et aussi
 modestie ).   Ou bien il dira encore :  Je puis, pour
diverses raisons, me rejouir de la bonne opinion des autres,"
323,239,"239
peut-etre parce que je les honore et les aime, et je me
rejouis de toutes leurs joies, peut-etre aussi parce que leur
opinion souligne et renforce en moi la foi en ma propre
bonne opinion, peut-etre parce que la bonne opinion
d’autrui, meme dans les cas ou je ne la partage pas, m’est
pourtant utile ou me promet de l’etre  mais tout cela n’est
pas de la vanite . L’homme noble doit avant tout se forcer
a croire, surtout a l’aide de l’histoire, que depuis des temps
immemoriaux, 
dans 
toutes 
les 
couches 
populaires
dependantes, l’homme du commun n'etait que ce qu’il
passait pour etre. Comme celui-ci n’etait pas habitue a creer
des valeurs par lui-meme, il ne s’attribuait pas d’autre
valeur que celle que lui pretaient ses maitres (creer des
valeurs, c’est par excellence le droit des maitres). Sans
doute il faut attribuer a un prodigieux atavisme le fait que
l’homme du commun, aujourd’hui encore, attend que l’on
se soit fait une opinion sur lui, pour s’y soumettre ensuite
instinctivement  ; et il se soumet non seulement a une
 bonne  opinion, mais encore a une opinion mauvaise et
injuste (que l’on songe par exemple a la grosse part
d’appreciation et de depreciation de soi que les femmes
pieuses apprennent de leur confesseur et qu’en general le
chretien croyant apprend de son eglise)."
324,239,"Sans
doute il faut attribuer a un prodigieux atavisme le fait que
l’homme du commun, aujourd’hui encore, attend que l’on
se soit fait une opinion sur lui, pour s’y soumettre ensuite
instinctivement  ; et il se soumet non seulement a une
 bonne  opinion, mais encore a une opinion mauvaise et
injuste (que l’on songe par exemple a la grosse part
d’appreciation et de depreciation de soi que les femmes
pieuses apprennent de leur confesseur et qu’en general le
chretien croyant apprend de son eglise). En realite, grace a
la lente marche en avant de l’ordre democratique (et de ce
qui est en cause, le melange des races dominantes et des
races esclaves), le penchant, jadis solide et rare, de
s’appliquer a soi-meme une valeur propre et d’etre  bien
pensant  au sujet de soi, sera maintenant de plus en plus
encourage et se developpera toujours davantage. Mais ce"
325,240,"240
penchant aura toujours contre lui une tendance plus
ancienne, plus large, plus essentiellement vitale, et, dans le
phenomene de la  vanite , cette tendance plus ancienne se
rendra maitresse de la plus recente. Le vaniteux se rejouit
de toute bonne opinion que l’on a de lui (sans se mettre au
point de vue de l’utilite de cette opinion, sans prendre en
consideration son caractere vrai ou faux), comme d’ailleurs
il souffre aussi de toute mauvaise opinion, car il s’assujettit
a deux opinion, il se sent assujetti, a cause de cet instinct de
soumission d’origine plus ancienne qui prend le dessus. 
C’est l’ esclave  dans le vaniteux, un residu de la rouerie
de l’esclave  et combien y a-t-il d’elements  esclaves 
qui subsistent encore, dans la femme par exemple !  qui
cherche a egarer la bonne opinion sur son compte. C’est
encore l’esclave qui se met aussitot a se prosterner devant
cette opinion, comme si ce n’etait pas lui qui l’a provoquee.
 Et, je le repete, la vanite est un atavisme.
262.
Une espece se forme, un type devient stable et fort par le
long 
combat 
contre 
des 
conditions 
constantes 
et
essentiellement 
defavorables. 
On 
sait, 
d’autre 
part,
l’experience des eleveurs en fait foi, que les especes
auxquelles est departie une nourriture surabondante, et, en
general, un excedent de protection et de soins, penchent
aussitot, de la facon la plus intense, vers les variations du
type et deviennent riche en caracteres extraordinaires et en
monstruosites (et aussi en vice monstrueux). Que l’on
considere donc une communaute aristocratique, une antique"
326,241,"241
polis grecque par exemple, ou peut-etre Venise, en tant
qu’institutions volontaires ou involontaires en vue de
l’education. Il y a la une agglomeration d’hommes,
abandonnes a eux-memes, qui veulent faire triompher leur
espece, generalement parce qu’ils sont forces de s’imposer
sous peine de se voir extermines. Ici ce bien-etre, cette
surabondance, cette protection qui favorisent les variations
font defaut ; l’espece a besoin de l’espece en tant qu’espece,
comme de quelque chose qui, justement grace a sa durete, a
son uniformite, a la simplicite de sa forme, peut s’imposer
et se rendre durable dans la lutte perpetuelle avec les
voisins ou avec les opprimes en revolte, ou menacant sans
cesse de se revolter. L’experience la plus multiple apprend a
l’espece grace a quelles qualites surtout, en depit des dieux
et des hommes, elle existe toujours et a toujours remporte la
victoire. Ces qualites elle les appelle vertus, ces vertus
seules elle les developpe. Elle le fait avec durete, elle exige
meme la durete. Toute morale aristocratique est intolerante
dans l’education de la jeunesse, dans sa facon de disposer
des femmes, dans les murs matrimoniales, dans les
rapports des jeunes et des vieux, dans les lois penales
(lesquelles ne prennent en consideration que ceux qui
degenerent). Elle range l’intolerance meme au nombre des
vertus sous le nom d’ equite ."
327,241,"Ces qualites elle les appelle vertus, ces vertus
seules elle les developpe. Elle le fait avec durete, elle exige
meme la durete. Toute morale aristocratique est intolerante
dans l’education de la jeunesse, dans sa facon de disposer
des femmes, dans les murs matrimoniales, dans les
rapports des jeunes et des vieux, dans les lois penales
(lesquelles ne prennent en consideration que ceux qui
degenerent). Elle range l’intolerance meme au nombre des
vertus sous le nom d’ equite . Un type qui presente peu
de traits, mais des traits fort prononces, une espece
d’hommes severe, guerriere, sagement muette, fermee,
renfermee (et, comme telle, douee de la sensibilite la plus
delicate pour le charme et les nuances de la societe), une
telle espece est fixee de la sorte au-dessus du changement"
328,242,"242
de generation. La lutte continuelle contre des conditions
toujours egalement defavorables est, je le repete, ce qui
rend un type stable et dur. Enfin un etat plus heureux finit
cependant par naitre, la tension formidable diminue ; peut-
etre n’y a-t-il plus d’ennemis parmi les voisins, et les
moyens d’existence, meme de jouissance de l’existence,
deviennent surabondant. D’un seul coup se brise les liens de
la contrainte de l’ancienne discipline  : elle n’est plus
consideree comme necessaire, elle n’est plus condition
d’existence,  si elle voulait subsister elle ne le pourrait
que comme une forme de luxe, comme gout archaique. La
variation, soit sous forme de transformation (en quelque
chose de plus haut, de plus fin, de plus rare), soit sous
forme de degenerescence et de monstruosite, parait aussitot
en scene dans toute sa plenitude et sa splendeur, l’etre
unique ose etre unique et se detacher du reste. A ce point
critique de l’histoire se montrent, juxtaposes et souvent
enchevetres et emmeles, les efforts de croissance et
d’elevation les plus superbes, les plus multiples et les plus
touffus. C’est une sorte d’allure tropique dans la rivalite de
croissance, et une prodigieuse course a la chute et a
l’abime, grace aux egoismes tournes les uns contre les
autres qui eclatent en quelque sorte, luttent ensemble pour
  le soleil et la lumiere  , et ne savent plus trouver de
limites, de frein et de moderation dans la morale jusque-la
regnante. Ce fut cette morale elle-meme qui avait amasse la
force jusqu’a l’enormite, qui avait tendu l’arc d’une facon si
menacante ; maintenant elle est surmontee, elle a  vecu ."
329,242,"C’est une sorte d’allure tropique dans la rivalite de
croissance, et une prodigieuse course a la chute et a
l’abime, grace aux egoismes tournes les uns contre les
autres qui eclatent en quelque sorte, luttent ensemble pour
  le soleil et la lumiere  , et ne savent plus trouver de
limites, de frein et de moderation dans la morale jusque-la
regnante. Ce fut cette morale elle-meme qui avait amasse la
force jusqu’a l’enormite, qui avait tendu l’arc d’une facon si
menacante ; maintenant elle est surmontee, elle a  vecu .
Le point perilleux et inquietant est atteint, ou la vie plus"
330,243,"243
grande, plus multiple, plus vaste, l’emporte sur la vieille
morale ;  l’individu  est la, force a se donner a lui-meme
des lois, a avoir son art propre et ses ruses pour la
conservation, l’elevation et l’affranchissement de soi. Rien
que de nouveaux pourquoi et de nouveaux comment ? plus
de formules generale, des meprises et des mepris ligues
ensemble, la chute, la corruption et les desirs les plus hauts
joints et epouvantablement enchevetres, le genie de la race
debordant de toutes les coupes du bien et du mal, une
simultaneite fatale de printemps et d’automne, pleine
d’attrait nouveaux et de mysteres, propres a la corruption
jeune, point encore epuisee et lassee. De nouveau, le danger
se presente, le pere de la morale, le grand danger, cette fois
transporte dans l’individu, dans le proche et dans l’ami,
dans la rue, dans son propre enfant, dans son propre cur,
dans tout ce qui est le plus propre et le plus mysterieux en
fait de desirs et de volontes. Les moralistes qui arrivent en
ce temps qu’auront-ils a precher  ? Ils decouvriront, ces
subtils observateurs debout au coin des rues, que c’en est
bientot fait, que tout autour d’eux se corrompt et corrompt,
que rien ne dure jusqu’au surlendemain, une seule espece
d’hommes 
exceptee, 
l’incurablement 
mediocre. 
Les
mediocres seuls ont la perspective de se continuer, de se
reproduire,  ils sont les hommes de l’avenir, les seuls qui
survivent.  Soyez comme eux, devenez mediocres !  c’est
aujourd’hui la seule morale qui ait encore un sens, qui
trouve encore des oreilles pour l’ecouter."
331,243,"Ils decouvriront, ces
subtils observateurs debout au coin des rues, que c’en est
bientot fait, que tout autour d’eux se corrompt et corrompt,
que rien ne dure jusqu’au surlendemain, une seule espece
d’hommes 
exceptee, 
l’incurablement 
mediocre. 
Les
mediocres seuls ont la perspective de se continuer, de se
reproduire,  ils sont les hommes de l’avenir, les seuls qui
survivent.  Soyez comme eux, devenez mediocres !  c’est
aujourd’hui la seule morale qui ait encore un sens, qui
trouve encore des oreilles pour l’ecouter.  Mais elle est
difficile a precher, cette morale de la mediocrite !  elle
n’ose jamais avouer ce qu’elle est et ce qu’elle veut ! elle"
332,244,"244
doit parler de mesure, de dignite et de devoir, et d’amour du
prochain,  elle aura de la peine a dissimuler son
ironie ! 
263.
Il y a un instinct pour le rang qui, plus que toute autre
chose, est deja l’indice d’un rang superieur  ; il y a une
volupte dans les nuances du respect qui fait deviner
l’origine et les habitudes nobles. La delicatesse, la valeur et
la hauteur d’une ame sont mises a une perilleuse epreuve
lorsque passe, devant cette ame, quelque chose qui est de
premier ordre, mais qui n’est pas encore garde contre les
attaques importunes et grossiere par l’effroi qu’inspire
l’autorite ; quelque chose qui suit son chemin, qui ne porte
pas encore d’estampille, quelque chose d’inexplore, plein
de tentations, peut-etre voile et deguise volontairement,
comme si c’etait une vivante pierre de touche. Celui dont
c’est la tache et l’habitude de sonder les ames, se servira
des formes multiples de cet art pour determiner la valeur
derniere d’une ame, l’ordre inne et inebranlable auquel
appartient celle-ci ; il la mettra a l’epreuve pour determiner
son instinct de respect. Difference engendre haine  : la
vulgarite de certaines natures jaillit soudain a la lumiere
comme l’eau malpropre lorsqu’un calice sacre, un joyau
precieux sorti du mystere d’un ecrin ou un livre marque au
sceau d’une vaste destinee passe au grand jour ; et d’autre
part il y a un silence involontaire, une hesitation de l’il, un
arret dans le geste qui expriment qu’une ame sent
l’approche de quelque chose qui est digne de veneration. La"
333,245,"245
facon dont le respect de la Bible a generalement ete
maintenu jusqu’a present en Europe est peut-etre le meilleur
element de discipline et de raffinement des murs dont
l’Europe soit redevable au christianisme. Des livres d’une
telle profondeur et d’une importance aussi supreme ont
besoin de la tyrannie d’une autorite qui vient du dehors,
pour arriver ainsi a cette duree de milliers d’annees
indispensable pour les saisir et les comprendre entierement.
On a fait un grand pas en avant lorsqu’on a fini par
inculquer aux grandes masses (aux esprits plats qui ont la
digestion rapide) ce sentiment qu’il est defendu de toucher a
tout, qu’il y a des evenements sacres ou elles n’ont acces
qu’en otant leurs souliers et auxquels il ne leur est pas
permis de toucher avec des mains impures,  c’est peut-
etre la meilleure facon de leur faire comprendre l’humanite.
Au contraire, rien n’est aussi repugnant, chez les etres soi-
disant cultives, chez les sectateurs des  idees modernes ,
que leur manque de pudeur, leur insolence familiere de l’il
et de la main qui les porte a toucher a tout, a gouter de tout
et tater de tout ; et il se peut qu’aujourd’hui dans le peuple,
surtout chez les paysans, il y ait plus de noblesse relative du
gout, plus de sentiment de respect, que dans ce demi-monde
particulier des esprits qui lisent les journaux, chez les gens
cultives.
264.
On ne peut effacer dans l’ame d’un homme l’empreinte
de ce que ses ancetre ont fait avec le plus de predilection et
de constance  : soit qu’ils aient ete, par exemple gens"
334,246,"246
d’epargne, bureaucrates ou caissiers, modeste et bourgeois
dans leur desirs, modeste aussi dans leur vertus ; soit qu’ils
aient vecu dans l’habitude du commandement adonnes a
des plaisirs grossiers et, a cote de cela, peut-etre a des
responsabilites et a des devoirs plus grossiers encore ; soit
qu’enfin il leur soit arrive de sacrifier d’antiques privileges
de naissance ou de fortune pour vivre entierement selon leur
foi (selon leur   Dieu  ), comme des hommes d’une
conscience 
inflexible 
et 
tendre, 
rougissant 
de 
toute
compromission. Il est impossible qu’un homme n’ait pas
dans le sang les qualites et les predilections de ses parents et
de ses ancetres, quoique les apparences puissent puissent
faire croire le contraire. Ceci est le probleme de la race.
Pourvu qu’on connaisse quelque chose au sujet des parents,
on pourra tirer des conclusions pour ce qui concerne
l’enfant  : s’il s’agit d’une intemperance choquante, d’une
envie mesquine, d’une lourde vantardise  ces trois
particularites reunies ont de tout temps formees le vrai type
plebeien,  tout cela se transmet a l’enfant aussi surement
que la corruption du sang, et par l’education, fut-elle meme
la meilleure, on ne pourra effacer que l’apparence d’une
telle heredite.  Mais n’est-ce pas la aujourd’hui le but de
l’education et de la culture  ! A notre epoque tres
democratique, ou plutot tres plebeienne,  l’education  et
la   culture   doivent etre surtout l’art de tromper sur
l’origine, sur l’atavisme populacier dans l’ame et le corps.
Un educateur qui aujourd’hui precherait avant tout la verite
et crierait constamment a ses eleves :  soyez vrais !"
335,246,"Mais n’est-ce pas la aujourd’hui le but de
l’education et de la culture  ! A notre epoque tres
democratique, ou plutot tres plebeienne,  l’education  et
la   culture   doivent etre surtout l’art de tromper sur
l’origine, sur l’atavisme populacier dans l’ame et le corps.
Un educateur qui aujourd’hui precherait avant tout la verite
et crierait constamment a ses eleves :  soyez vrais ! soyez
naturels ! montrez-vous tels que vous etes !   un pareil"
336,247,"247
ane, vertueux et candide, apprendrait meme, au bout de
quelque temps, a recourir a la furca d’Horace pour naturam
expellere. Avec quel resultat  ?   La populace   usque
recurret. 
265.
Au risque de scandaliser les oreilles naives, je pose en
fait que l’egoisme appartient a l’essence des ames nobles ;
j’entends affirmer cette croyance immuable qu’a un etre tel
que   nous sommes   d’autres etres doivent etre soumis,
d’autres etres doivent se sacrifier. L’ame noble accepte
l’existence de son egoisme sans avoir de scrupules, et aussi
sans eprouver un sentiment de durete, de contrainte, de
caprice, mais plutot comme quelque chose qui doit avoir sa
raison d’etre dans la loi fondamentale des choses. Si elle
voulait donner un nom a cet etat de faits, elle dirait :  c’est
la justice meme . Elle s’avoue, dans des circonstances qui
d’abord la font hesiter, qu’il y a des etres dont les droits
sont egaux aux siens ; des qu’elle a resolu cette question du
rang, elle se comporte envers ses egaux, privilegies comme
elle, avec le meme tact dans la pudeur et le respect delicat
que dans son commerce avec elle-meme,  conformement
a un mecanisme celeste qu’elle connait de naissance comme
toutes les etoiles. C’est encore un signe de son egoisme, que
cette delicatesse et cette circonspection dans ses rapports
avec ses semblables. Chaque etoile est animee de cette
egoisme : elle s’honore elle-meme dans les autres etoiles et
dans les droits qu’elle leur abandonne ; elle ne doute pas
que cet echange d’honneurs et de droits, comme l’essence"
337,248,"248
de tout commerce, n’appartienne aussi a l’etat naturel des
choses. L’ame noble prend comme elle donne, par un
instinct d’equite passionne et violent qu’elle a au fond
d’elle-meme. Le concept   grace  n’a pas de sens, n’est
pas en bonne odeur inter pares ; il peut y avoir une maniere
sublime de laisser descendre sur soi les bienfaits d’en haut
et de les boire avidement comme des gouttes de rosee, mais
une ame noble n’est pas nee pour cet art et pour cette
attitude. Son egoisme ici fait obstacle : elle ne regarde pas
volontiers  en haut , mais plutot devant elle, lentement et
en ligne droite, ou vers en bas :  elle sait qu’elle est sur la
hauteur.
266.
 On ne peut estimer veritablement que celui qui ne se
cherche pas soi-meme .  Gthe au conseiller Schlosser.
267.
Il y a chez les chinois un proverbe que les meres
apprennent deja a leurs enfants : Siao-sin    Rends ton
cur petit !  Voila le penchant veritable des civilisations
avancees. Je suis certain qu’un grec de la Grece antique
trouverait avant tout, chez nous autres Europeens, la
tendance au rapetissement de soi,  et, par cela seul, nous
ne serions pas  selon son gout .
268.
Qu’appelle-t-on commun, en fin de compte  ?  Les
mots sont des signes verbaux pour designer des idees ; les
idees, elles, sont des signes imaginatifs, plus ou moins"
338,249,"249
precis, correspondant a des sensations qui reviennent
souvent et en meme temps, des groupes de sensations. Il ne
suffit pas, pour se comprendre mutuellement, d’employer
les memes mots. Il faut encore user des memes mots pour le
meme genre d’evenements interieurs, il faut enfin que les
experiences de l’individu lui soient communes avec celles
d’autres individus. C’est pourquoi les hommes d’un meme
peuple se comprennent mieux entre eux que ceux qui
appartiennent a differents peuples ; mais lorsque les peuples
differents emploient le meme idiome, ou plutot, lorsque des
hommes places dans les memes conditions (de climat, de
sol, de dangers, de besoins, de travail) ont longtemps vecu
ensemble, il se forme quelque chose  qui se comprend ,
c’est a dire un peuple. Dans toutes les ames un nombre egal
de faits qui reviennent souvent l’a emporte sur les faits qui
reviennent plus rarement. Sur les premiers on s’entend vite,
toujours plus vite  l’histoire de la langue est l’histoire
d’un procede d’abreviation. A cause de cette entente rapide,
on s’unit de plus en plus etroitement. Plus le danger est
grand et plus grand est le besoin de s’entendre vite et
facilement sur ce dont on a besoin ; ne pas s’exposer a un
malentendu 
dans 
le 
danger, 
telle 
est 
la 
condition
indispensable pour 
les hommes dans 
leur commerce
reciproque. On s’en apercoit aussi dans toute espece
d’amitie et d’amour. Aucun sentiment de cet ordre ne dure,
si, tout en usant des memes paroles, l’un des deux sent,
pense, pressent, eprouve, desire, craint autrement que
l’autre."
339,249,"A cause de cette entente rapide,
on s’unit de plus en plus etroitement. Plus le danger est
grand et plus grand est le besoin de s’entendre vite et
facilement sur ce dont on a besoin ; ne pas s’exposer a un
malentendu 
dans 
le 
danger, 
telle 
est 
la 
condition
indispensable pour 
les hommes dans 
leur commerce
reciproque. On s’en apercoit aussi dans toute espece
d’amitie et d’amour. Aucun sentiment de cet ordre ne dure,
si, tout en usant des memes paroles, l’un des deux sent,
pense, pressent, eprouve, desire, craint autrement que
l’autre. (La crainte de  l’eternel malentendu  : tel est le
bienveillant genie qui retient si souvent des personnes de"
340,250,"250
sexe different de contracter les unions precipitees que
conseillent les sens et le cur ; ce n’est nullement une sorte
de  genie de l’espece , comme l’a imagine Schopenhauer
  !) Savoir quels sont, dans une ame, les groupes de
sensations qui s’eveillent le plus rapidement, qui prennent
la parole, donnent des ordres, c’est la ce qui decide du
classement complet de la valeur de ces sensations, c’est la
ce qui, en derniere instance, fixe leur table de valeur. Les
appreciations d’un homme presentent des revelations au
sujet de la structure de son ame, montre ou celle-ci voit ses
conditions d’existence, son veritable besoin. Si l’on admet
donc que, de tous temps, le besoin n’a rapproche que des
hommes qui pouvaient designer, au moyen de signes
semblables, des necessites semblables, des impressions
semblables, il resulte dans l’ensemble, des impressions
semblables, il resulte dans l’ensemble, que la facilite de
communiquer le besoin, c’est a dire en somme, le fait de
n’eprouver que des sensations moyennes et communes, a du
etre la force la plus puissante de toutes celles qui ont
domine 
l’homme 
jusqu’ici. 
Les 
hommes 
les 
plus
semblables et les plus ordinaires eurent toujours et ont
encore l’avantage ; l’elite, les hommes raffines et rares, plus
difficiles a comprendre, courent le risque de rester seuls et,
a cause de leur isolement, ils succombent au danger et se
reproduisent rarement. Il faut faire appel a de prodigieuses
forces adverses pour entraver ce naturel, trop naturel
processus in simile, le developpement de l’homme vers le
semblable, l’ordinaire, le mediocre, le troupeau  le
commun !"
341,251,"251
269.
Plus un psychologue  un psychologue predestine et un
devineur d’ames  se tourne vers les cas et les hommes
exceptionnels, plus est grand le danger pour lui d’etre
etouffe par la compassion. Il a besoin de durete et de gaiete
plus qu’avec un autre homme. Car la corruption, la course a
l’abime des hommes superieurs, des ames d’espece etrange,
est la regle. Or il est terrible d’avoir toujours cette regle
devant les yeux. Le martyre complique du psychologue qui
a decouvert cette course a l’abime, qui decouvre une fois,
puis presque toujours a nouveau et dans l’histoire tout
entiere, cette complete   desesperance   interieure de
l’homme superieur, cet eternel  trop tard !  dans tous les
sens,  ce martyre, dis-je, pourra, un jour, etre cause que
l’homme superieur se tourne avec amertume contre sa
propre destinee, et tente de se detruire  de se faire
  perir   lui-meme. On remarque chez presque tous les
psychologue un penchant significatif et un plaisir a
frequenter des hommes vulgaires, les hommes qui vivent
selon la regle : le psychologue laisse deviner par la qu’il a
toujours besoin de guerir, qu’il a besoin de fuir, d’oublier,
de rejeter ce que son regard et son scalpel, ce que son
  metier   lui a mis sur la conscience. La crainte de sa
memoire lui est particuliere. Il lui arrive souvent de se taire
devant le jugement d’autrui : alors il ecoute avec un visage
impassible, pour entendre comment on honore, on admire,
on aime, on glorifie, la ou il s’est contente de regarder. Ou
bien il cache encore d’avantage son mutisme en approuvant"
